Code,Year,population
AD,1986,44593
AD,1987,46976
AD,1988,48451
AD,1989,50528
AD,1990,50887
AD,1991,54507
AD,1992,59048
AD,1993,61599
AD,1994,65226
AD,1995,64311
AD,1996,63859
AD,1997,64479
AD,1998,65306
AD,1999,65877
AD,2000,65971
AD,2001,65844
AD,2002,66334
AD,2003,67159
AD,2004,72320
AD,2005,76875
AD,2006,78549
AD,2007,81222
AD,2008,83137
AD,2009,84484
AD,2010,84082
AD,2011,78115
AD,2012,78115
AD,2013,76246
AD,2019,76177
AL,1977,2485025
AL,1978,2542066
AL,1979,2590466
AL,1980,2645198
AL,1981,2698795
AL,1982,2753316
AL,1983,2815239
AL,1984,2872681
AL,1985,2936177
AL,1986,2993347
AL,1987,3051923
AL,1988,3115286
AL,1989,3169386
AL,1990,3286500
AL,1991,3259814
AL,1992,3190103
AL,1993,3167478
AL,1994,3220310
AL,1995,3248836
AL,1996,3283000
AL,1997,3324317
AL,1998,3354341
AL,1999,3373445
AL,2000,3058497
AL,2001,3063318
AL,2002,3057018
AL,2003,3044993
AL,2004,3034231
AL,2005,3019634
AL,2006,3003329
AL,2007,2981755
AL,2008,2958266
AL,2009,2936355
AL,2010,2918674
AL,2011,2907361
AL,2012,2903008
AL,2013,2897770
AL,2014,2892394
AL,2015,2885796
AL,2016,2875592
AL,2017,2876591
AL,2018,2870324
AL,2019,2862427
AL,2020,2845955
AL,2021,2829741
AL,2022,2793592
AL,2023,2761785
AM,2000,3226900
AM,2001,3215300
AM,2002,3212900
AM,2003,3210300
AM,2004,3212200
AM,2005,3215800
AM,2006,3219234
AM,2007,3222953
AM,2008,3230086
AM,2009,3237976
AM,2010,3249482
AM,2011,3262650
AM,2012,3274285
AM,2015,3010598
AM,2016,2998577
AM,2017,2986151
AM,2018,2972732
AM,2019,2965269
AM,2020,2959694
AM,2021,2963251
AM,2023,2977130
AT,1977,7565561
AT,1978,7571299
AT,1979,7553310
AT,1980,7545539
AT,1981,7553326
AT,1982,7584094
AT,1983,7564185
AT,1984,7559635
AT,1985,7563233
AT,1986,7566736
AT,1987,7572852
AT,1988,7576319
AT,1989,7594315
AT,1990,7644818
AT,1991,7710882
AT,1992,7798899
AT,1993,7882519
AT,1994,7928746
AT,1995,7943489
AT,1996,7953067
AT,1997,7964966
AT,1998,7971116
AT,1999,7982461
AT,2000,8002186
AT,2001,8020946
AT,2002,8063640
AT,2003,8100273
AT,2004,8142573
AT,2005,8201359
AT,2006,8254298
AT,2007,8282984
AT,2008,8307989
AT,2009,8335003
AT,2010,8351643
AT,2011,8375164
AT,2012,8408121
AT,2013,8451860
AT,2014,8507786
AT,2015,8584926
AT,2016,8700471
AT,2017,8772865
AT,2018,8822267
AT,2019,8858775
AT,2020,8901064
AT,2021,8932664
AT,2022,8978929
AT,2023,9104772
AZ,2000,8016200
AZ,2001,8081000
AZ,2002,8141400
AZ,2003,8202500
AZ,2004,8265700
AZ,2005,8347300
AZ,2006,8436400
AZ,2007,8532700
AZ,2008,8629900
AZ,2009,8896900
AZ,2010,8997586
AZ,2011,9111078
AZ,2012,9235085
AZ,2013,9356483
AZ,2014,9477119
AZ,2015,9593038
AZ,2016,9705643
AZ,2017,9809981
AZ,2018,9898085
AZ,2019,9981457
AZ,2020,10067108
AZ,2021,10119133
AZ,2022,10156366
BA,1977,4059247
BA,1978,4110203
BA,1979,4157746
BA,1980,4136941
BA,1981,4114030
BA,1982,4158361
BA,1983,4203208
BA,1984,4248746
BA,1985,4293863
BA,1986,4337350
BA,1987,4379545
BA,1988,4421373
BA,1989,4461498
BA,1990,4499203
BA,1991,4517921
BA,1997,3727439
BA,1998,3549736
BA,2000,3753085
BA,2001,3789717
BA,2002,3813167
BA,2003,3830349
BA,2004,3837414
BA,2005,3842532
BA,2006,3842650
BA,2007,3844017
BA,2008,3843846
BA,2009,3843998
BA,2010,3844046
BA,2011,3843183
BA,2012,3839265
BE,1977,9823302
BE,1978,9837413
BE,1979,9841654
BE,1980,9855110
BE,1981,9863374
BE,1982,9854589
BE,1983,9858017
BE,1984,9853023
BE,1985,9857721
BE,1986,9858895
BE,1987,9864751
BE,1988,9875716
BE,1989,9927612
BE,1990,9947782
BE,1991,9986975
BE,1992,10021997
BE,1993,10068319
BE,1994,10100631
BE,1995,10130574
BE,1996,10143047
BE,1997,10170226
BE,1998,10192264
BE,1999,10213752
BE,2000,10239085
BE,2001,10263414
BE,2002,10309725
BE,2003,10355844
BE,2004,10396421
BE,2005,10445852
BE,2006,10511382
BE,2007,10584534
BE,2008,10666866
BE,2009,10753080
BE,2010,10839905
BE,2011,11000638
BE,2012,11075889
BE,2013,11137974
BE,2014,11180840
BE,2015,11237274
BE,2016,11311117
BE,2017,11351727
BE,2018,11398589
BE,2019,11455519
BE,2020,11522440
BE,2021,11554767
BE,2022,11617623
BE,2023,11742796
BG,1977,8785763
BG,1978,8822602
BG,1979,8805462
BG,1980,8846417
BG,1981,8876652
BG,1982,8905581
BG,1983,8929332
BG,1984,8950144
BG,1985,8971214
BG,1986,8949880
BG,1987,8966462
BG,1988,8976255
BG,1989,8986636
BG,1990,8767308
BG,1991,8669269
BG,1992,8595465
BG,1993,8484863
BG,1994,8459763
BG,1995,8427418
BG,1996,8384715
BG,1997,8340936
BG,1998,8283200
BG,1999,8230371
BG,2000,8190876
BG,2001,8149468
BG,2002,7868815
BG,2003,7805506
BG,2004,7745147
BG,2005,7688573
BG,2006,7629371
BG,2007,7572673
BG,2008,7518002
BG,2009,7467119
BG,2010,7421766
BG,2011,7369431
BG,2012,7327224
BG,2013,7284552
BG,2014,7245677
BG,2015,7202198
BG,2016,7153784
BG,2017,7101859
BG,2018,7050034
